url,verdict,coverageState,robotsTxtState,indexingState,pageFetchState,lastCrawlTime,googleCanonical,userCanonical,canonicalOk,inspectedAt
https://www.consignatarias.com.ar/productividad/buenos-aires,PASS,Enviada e indexada,ALLOWED,INDEXING_ALLOWED,SUCCESSFUL,2026-08-30T01:43:32Z,https://www.consignatarias.com.ar/productividad/buenos-aires,https://www.consignatarias.com.ar/productividad/buenos-aires,true,2026-09-18T03:00:07.411Z
https://www.consignatarias.com.ar/productividad/catamarca,NEUTRAL,Descubierta: actualmente sin indexar,ROBOTS_TXT_STATE_UNSPECIFIED,INDEXING_STATE_UNSPECIFIED,PAGE_FETCH_STATE_UNSPECIFIED,,,,,2026-09-18T03:00:07.503Z
https://www.consignatarias.com.ar/productividad/chubut,NEUTRAL,Google no reconoce esta URL,ROBOTS_TXT_STATE_UNSPECIFIED,INDEXING_STATE_UNSPECIFIED,PAGE_FETCH_STATE_UNSPECIFIED,,,,,2026-09-18T03:00:07.506Z
https://www.consignatarias.com.ar/productividad/chaco,NEUTRAL,Descubierta: actualmente sin indexar,ROBOTS_TXT_STATE_UNSPECIFIED,INDEXING_STATE_UNSPECIFIED,PAGE_FETCH_STATE_UNSPECIFIED,,,,,2026-09-18T03:00:07.747Z
https://www.consignatarias.com.ar/productividad/cordoba,PASS,Enviada e indexada,ALLOWED,INDEXING_ALLOWED,SUCCESSFUL,2026-09-11T21:10:36Z,https://www.consignatarias.com.ar/productividad/cordoba,https://www.consignatarias.com.ar/productividad/cordoba,true,2026-09-18T03:00:13.621Z
https://www.consignatarias.com.ar/productividad/entre-rios,NEUTRAL,Descubierta: actualmente sin indexar,ROBOTS_TXT_STATE_UNSPECIFIED,INDEXING_STATE_UNSPECIFIED,PAGE_FETCH_STATE_UNSPECIFIED,,,,,2026-09-18T03:00:13.796Z
https://www.consignatarias.com.ar/productividad/corrientes,NEUTRAL,Descubierta: actualmente sin indexar,ROBOTS_TXT_STATE_UNSPECIFIED,INDEXING_STATE_UNSPECIFIED,PAGE_FETCH_STATE_UNSPECIFIED,,,,,2026-09-18T03:00:13.938Z
https://www.consignatarias.com.ar/productividad/formosa,PASS,Enviada e indexada,ALLOWED,INDEXING_ALLOWED,SUCCESSFUL,2026-09-16T22:21:48Z,https://www.consignatarias.com.ar/productividad/formosa,https://www.consignatarias.com.ar/productividad/formosa,true,2026-09-18T03:00:14.057Z
https://www.consignatarias.com.ar/productividad/jujuy,PASS,Enviada e indexada,ALLOWED,INDEXING_ALLOWED,SUCCESSFUL,2026-08-30T19:49:22Z,https://www.consignatarias.com.ar/productividad/jujuy,https://www.consignatarias.com.ar/productividad/jujuy,true,2026-09-18T03:00:19.856Z
https://www.consignatarias.com.ar/productividad/la-pampa,NEUTRAL,Descubierta: actualmente sin indexar,ROBOTS_TXT_STATE_UNSPECIFIED,INDEXING_STATE_UNSPECIFIED,PAGE_FETCH_STATE_UNSPECIFIED,,,,,2026-09-18T03:00:20.050Z
https://www.consignatarias.com.ar/productividad/la-rioja,NEUTRAL,Descubierta: actualmente sin indexar,ROBOTS_TXT_STATE_UNSPECIFIED,INDEXING_STATE_UNSPECIFIED,PAGE_FETCH_STATE_UNSPECIFIED,,,,,2026-09-18T03:00:20.216Z
https://www.consignatarias.com.ar/productividad/mendoza,PASS,Enviada e indexada,ALLOWED,INDEXING_ALLOWED,SUCCESSFUL,2026-08-30T02:39:49Z,https://www.consignatarias.com.ar/productividad/mendoza,https://www.consignatarias.com.ar/productividad/mendoza,true,2026-09-18T03:00:20.341Z
https://www.consignatarias.com.ar/productividad/misiones,NEUTRAL,Descubierta: actualmente sin indexar,ROBOTS_TXT_STATE_UNSPECIFIED,INDEXING_STATE_UNSPECIFIED,PAGE_FETCH_STATE_UNSPECIFIED,,,,,2026-09-18T03:00:26.070Z
https://www.consignatarias.com.ar/productividad/neuquen,NEUTRAL,Descubierta: actualmente sin indexar,ROBOTS_TXT_STATE_UNSPECIFIED,INDEXING_STATE_UNSPECIFIED,PAGE_FETCH_STATE_UNSPECIFIED,,,,,2026-09-18T03:00:26.322Z
https://www.consignatarias.com.ar/productividad/rio-negro,NEUTRAL,Descubierta: actualmente sin indexar,ROBOTS_TXT_STATE_UNSPECIFIED,INDEXING_STATE_UNSPECIFIED,PAGE_FETCH_STATE_UNSPECIFIED,,,,,2026-09-18T03:00:26.409Z
https://www.consignatarias.com.ar/productividad/salta,PASS,Enviada e indexada,ALLOWED,INDEXING_ALLOWED,SUCCESSFUL,2026-09-16T00:24:44Z,https://www.consignatarias.com.ar/productividad/salta,https://www.consignatarias.com.ar/productividad/salta,true,2026-09-18T03:00:26.447Z
https://www.consignatarias.com.ar/productividad/san-juan,NEUTRAL,Descubierta: actualmente sin indexar,ROBOTS_TXT_STATE_UNSPECIFIED,INDEXING_STATE_UNSPECIFIED,PAGE_FETCH_STATE_UNSPECIFIED,,,,,2026-09-18T03:00:32.274Z
https://www.consignatarias.com.ar/productividad/san-luis,NEUTRAL,Google no reconoce esta URL,ROBOTS_TXT_STATE_UNSPECIFIED,INDEXING_STATE_UNSPECIFIED,PAGE_FETCH_STATE_UNSPECIFIED,,,,,2026-09-18T03:00:32.508Z
https://www.consignatarias.com.ar/productividad/santa-cruz,NEUTRAL,Google no reconoce esta URL,ROBOTS_TXT_STATE_UNSPECIFIED,INDEXING_STATE_UNSPECIFIED,PAGE_FETCH_STATE_UNSPECIFIED,,,,,2026-09-18T03:00:32.548Z
https://www.consignatarias.com.ar/productividad/santa-fe,NEUTRAL,Descubierta: actualmente sin indexar,ROBOTS_TXT_STATE_UNSPECIFIED,INDEXING_STATE_UNSPECIFIED,PAGE_FETCH_STATE_UNSPECIFIED,,,,,2026-09-18T03:00:32.663Z
https://www.consignatarias.com.ar/productividad/santiago-del-estero,PASS,Enviada e indexada,ALLOWED,INDEXING_ALLOWED,SUCCESSFUL,2026-09-14T21:32:22Z,https://www.consignatarias.com.ar/productividad/santiago-del-estero,https://www.consignatarias.com.ar/productividad/santiago-del-estero,true,2026-09-18T03:00:38.528Z
https://www.consignatarias.com.ar/productividad/tierra-del-fuego,PASS,Enviada e indexada,ALLOWED,INDEXING_ALLOWED,SUCCESSFUL,2026-09-17T23:05:08Z,https://www.consignatarias.com.ar/productividad/tierra-del-fuego,https://www.consignatarias.com.ar/productividad/tierra-del-fuego,true,2026-09-18T03:00:38.661Z
https://www.consignatarias.com.ar/productividad/tucuman,PASS,Enviada e indexada,ALLOWED,INDEXING_ALLOWED,SUCCESSFUL,2026-09-17T02:03:20Z,https://www.consignatarias.com.ar/productividad/tucuman,https://www.consignatarias.com.ar/productividad/tucuman,true,2026-09-18T03:00:38.714Z
https://www.consignatarias.com.ar/productividad/buenos-aires/adolfo-alsina,NEUTRAL,Google no reconoce esta URL,ROBOTS_TXT_STATE_UNSPECIFIED,INDEXING_STATE_UNSPECIFIED,PAGE_FETCH_STATE_UNSPECIFIED,,,,,2026-09-18T03:00:38.777Z
https://www.consignatarias.com.ar/productividad/buenos-aires/alberti,NEUTRAL,Descubierta: actualmente sin indexar,ROBOTS_TXT_STATE_UNSPECIFIED,INDEXING_STATE_UNSPECIFIED,PAGE_FETCH_STATE_UNSPECIFIED,,,,,2026-09-18T03:00:44.662Z
https://www.consignatarias.com.ar/productividad/buenos-aires/arrecifes,NEUTRAL,Google no reconoce esta URL,ROBOTS_TXT_STATE_UNSPECIFIED,INDEXING_STATE_UNSPECIFIED,PAGE_FETCH_STATE_UNSPECIFIED,,,,,2026-09-18T03:00:44.853Z
https://www.consignatarias.com.ar/productividad/buenos-aires/ameghino,PASS,Enviada e indexada,ALLOWED,INDEXING_ALLOWED,SUCCESSFUL,2026-09-17T08:04:31Z,https://www.consignatarias.com.ar/productividad/buenos-aires/ameghino,https://www.consignatarias.com.ar/productividad/buenos-aires/ameghino,true,2026-09-18T03:00:44.903Z
https://www.consignatarias.com.ar/productividad/buenos-aires/ayacucho,NEUTRAL,Descubierta: actualmente sin indexar,ROBOTS_TXT_STATE_UNSPECIFIED,INDEXING_STATE_UNSPECIFIED,PAGE_FETCH_STATE_UNSPECIFIED,,,,,2026-09-18T03:00:45.008Z
https://www.consignatarias.com.ar/productividad/buenos-aires/azul,NEUTRAL,Descubierta: actualmente sin indexar,ROBOTS_TXT_STATE_UNSPECIFIED,INDEXING_STATE_UNSPECIFIED,PAGE_FETCH_STATE_UNSPECIFIED,,,,,2026-09-18T03:00:50.882Z
https://www.consignatarias.com.ar/productividad/buenos-aires/bahia-blanca,NEUTRAL,Descubierta: actualmente sin indexar,ROBOTS_TXT_STATE_UNSPECIFIED,INDEXING_STATE_UNSPECIFIED,PAGE_FETCH_STATE_UNSPECIFIED,,,,,2026-09-18T03:00:51.037Z
https://www.consignatarias.com.ar/productividad/buenos-aires/baradero,NEUTRAL,Descubierta: actualmente sin indexar,ROBOTS_TXT_STATE_UNSPECIFIED,INDEXING_STATE_UNSPECIFIED,PAGE_FETCH_STATE_UNSPECIFIED,,,,,2026-09-18T03:00:51.137Z
https://www.consignatarias.com.ar/productividad/buenos-aires/balcarce,PASS,Enviada e indexada,ALLOWED,INDEXING_ALLOWED,SUCCESSFUL,2026-09-17T17:33:13Z,https://www.consignatarias.com.ar/productividad/buenos-aires/balcarce,https://www.consignatarias.com.ar/productividad/buenos-aires/balcarce,true,2026-09-18T03:00:51.227Z
https://www.consignatarias.com.ar/productividad/buenos-aires/berazategui,NEUTRAL,Google no reconoce esta URL,ROBOTS_TXT_STATE_UNSPECIFIED,INDEXING_STATE_UNSPECIFIED,PAGE_FETCH_STATE_UNSPECIFIED,,,,,2026-09-18T03:00:57.223Z
https://www.consignatarias.com.ar/productividad/buenos-aires/benito-juarez,PASS,Enviada e indexada,ALLOWED,INDEXING_ALLOWED,SUCCESSFUL,2026-08-30T01:02:02Z,https://www.consignatarias.com.ar/productividad/buenos-aires/benito-juarez,https://www.consignatarias.com.ar/productividad/buenos-aires/benito-juarez,true,2026-09-18T03:00:57.274Z
https://www.consignatarias.com.ar/productividad/buenos-aires/berisso,PASS,Enviada e indexada,ALLOWED,INDEXING_ALLOWED,SUCCESSFUL,2026-09-16T10:49:24Z,https://www.consignatarias.com.ar/productividad/buenos-aires/berisso,https://www.consignatarias.com.ar/productividad/buenos-aires/berisso,true,2026-09-18T03:00:57.342Z
https://www.consignatarias.com.ar/productividad/buenos-aires/bolivar,NEUTRAL,Descubierta: actualmente sin indexar,ROBOTS_TXT_STATE_UNSPECIFIED,INDEXING_STATE_UNSPECIFIED,PAGE_FETCH_STATE_UNSPECIFIED,,,,,2026-09-18T03:00:57.472Z
https://www.consignatarias.com.ar/productividad/buenos-aires/bragado,NEUTRAL,Google no reconoce esta URL,ROBOTS_TXT_STATE_UNSPECIFIED,INDEXING_STATE_UNSPECIFIED,PAGE_FETCH_STATE_UNSPECIFIED,,,,,2026-09-18T03:01:03.444Z
https://www.consignatarias.com.ar/productividad/buenos-aires/campana,PASS,Enviada e indexada,ALLOWED,INDEXING_ALLOWED,SUCCESSFUL,2026-09-13T22:43:28Z,https://www.consignatarias.com.ar/productividad/buenos-aires/campana,https://www.consignatarias.com.ar/productividad/buenos-aires/campana,true,2026-09-18T03:01:03.464Z
https://www.consignatarias.com.ar/productividad/buenos-aires/canuelas,NEUTRAL,Google no reconoce esta URL,ROBOTS_TXT_STATE_UNSPECIFIED,INDEXING_STATE_UNSPECIFIED,PAGE_FETCH_STATE_UNSPECIFIED,,,,,2026-09-18T03:01:03.764Z
https://www.consignatarias.com.ar/productividad/buenos-aires/capitan-sarmiento,NEUTRAL,Descubierta: actualmente sin indexar,ROBOTS_TXT_STATE_UNSPECIFIED,INDEXING_STATE_UNSPECIFIED,PAGE_FETCH_STATE_UNSPECIFIED,,,,,2026-09-18T03:01:03.933Z
https://www.consignatarias.com.ar/productividad/buenos-aires/carlos-casares,NEUTRAL,Descubierta: actualmente sin indexar,ROBOTS_TXT_STATE_UNSPECIFIED,INDEXING_STATE_UNSPECIFIED,PAGE_FETCH_STATE_UNSPECIFIED,,,,,2026-09-18T03:01:09.678Z
